	Compounds	WT_14w	WT_22w	C_14w	C_22w	B_14w	B_22w	W_14w	W_22w	P_14w	P_22w	HMDB	kegg_map
38	4-Hydroxy-3-methoxyphenyl glycol	11.274786340872	10.7869341376947	11.5296363885998	11.0801850757784	11.3117870827533	11.2132051515592	11.4177137023853	10.9320052059386	7.59276031168163	11.4576610889912	HMDB0001490	ko00350,ko01100
39	4-Hydroxy-3-methylbenzoic acid	13.4856284741228	13.1457656241219	13.5810310500252	12.4151759537747	13.5666086307636	13.3457690382582	13.3196542716792	13.0975690675178	12.6404108003064	12.9434180077509	HMDB0004815	-
40	4-Hydroxybenzoic Acid	16.2272762252057	16.3666902739277	16.2868219368172	15.9865799348535	16.6772019758571	16.668758568746	16.1213030668933	16.2966378792103	15.8338950224811	16.2667623826172	HMDB0000500	ko00130,ko00790,ko01100,ko01240
41	4-hydroxyphenylglyoxylate	13.4073389373507	12.9772395609632	13.023012914708	12.7786730634726	14.4167469189282	14.3815468724875	14.434561414182	14.4171915847895	13.9950351781902	14.0104613819213	-	ko00261,ko01100
42	4-Pyridoxic Acid	14.9265697212845	14.6396005184143	15.3313545129909	14.6626809766732	16.2093931277156	16.3125101115388	16.3957682848683	16.3471993639955	15.4481740639641	15.6368311534795	HMDB0000017	ko00750,ko01100
43	4,4-Dimethyl-5a-cholesta-8,24-dien-3-b-ol	9.30959957597954	9.58789503102514	9.5721652676607	9.63085295873669	10.5096219013059	9.97495574490763	10.1383740148289	9.86731500606723	9.69604204485412	6.75034792857418	HMDB0001286	-
44	5-Methylcytosine	14.0683245552954	13.7784555944298	14.1755679119237	13.5513459446822	14.2724052888454	14.8311938575924	14.3743804519749	14.0777214293512	14.1370978912984	13.7145381285092	HMDB0002894	ko00240,ko01100
45	5¦Á-Pregnane-3,20-dione	11.5258192114735	11.7960212608932	12.2460640842044	7.82062774422203	12.6419174033554	11.7139570258979	12.1068682563519	12.0382342170419	8.22212574780047	7.58400988619709	HMDB0003759	ko00140
46	7-Methyluric Acid	13.7499145860325	13.4779114666462	13.6259547927293	13.5037730412039	13.6983934185644	13.6895442411966	13.6729447451808	13.692790982367	13.7026406974076	13.5768336877847	HMDB0011107	ko00232
47	7alpha-Hydroxycholesterol	14.14787727626	8.44148097423961	9.9205310451588	13.72169973936	13.6815504933539	13.2288554555661	13.8113965960399	13.4659957896025	3.70472569000439	3.66915677078996	HMDB0001496	ko00120,ko01100
48	9,10-Epoxy-18-hydroxystearate	15.650230360384	15.6240508932474	15.6857176374686	15.6662837589233	15.6214575772858	15.7299443108642	15.6541269505337	15.7687197516428	15.69956897502	15.6910048404921	-	-
49	Adenosine	17.3368712371207	16.8012998619483	17.5787927318267	17.038141277137	17.6991710906055	17.1353847682	16.9554556082215	17.3933948955561	17.1677617337679	17.7366977860011	HMDB0000050	ko00230,ko01100,ko01232,ko02010,ko04022,ko04024,ko04071,ko04080,ko04270,ko04923,ko04924,ko05012,ko05032,ko05034
50	Adenosine 5'-Diphosphate£¨ADP£©	11.3029265059253	11.2981316605537	11.132501549654	11.5370837822464	11.4528914508853	11.5017886367621	11.4917379801425	11.7409216020098	11.7334926188666	12.1145968321782	HMDB0001341	ko00190,ko00230,ko01100,ko01232,ko01240,ko04068,ko04080,ko04142,ko04152,ko04611,ko04714,ko04742,ko04924,ko05012,ko05014,ko05022
51	ADP-ribose	10.7210116930285	10.284464042637	10.5564804915601	10.2691844728659	10.7317311203734	10.1079216332829	11.1297012903719	10.367739242947	11.4234414396606	11.1030313401298	HMDB0001178	ko00230,ko01100
52	Androstenediol	14.6822782981264	14.4832250579915	14.2346483253889	14.6121830256461	14.5770637410053	14.65676960524	14.8014417432881	14.6807463722911	14.7404014745387	14.6674485910597	HMDB0003818	ko00140,ko04913
53	Arbutin	14.7348243922837	15.0518285060144	14.9213970757261	15.291539586079	14.6151285234931	15.0286538578068	15.0625798224236	15.1180976144232	15.2637387440772	15.6499246272203	HMDB0029943	ko00010
54	Barbituric-acid	13.8068026542166	13.6457575045403	13.8430241447953	14.0563225242956	14.3944335297453	13.9461561560921	14.2400738511234	13.924916624068	14.21452103825	14.060674509717	HMDB0041833	ko00240,ko01100
55	Benzaldehyde	16.3890586358935	16.3594225529941	16.172265615897	16.2583602401754	16.3394775462402	16.4814280122691	16.0315582418812	16.1029035587638	16.2077298477025	16.2479950472037	HMDB0006115	-
56	Biliverdin	14.4316046394097	14.9937608146501	15.9144689044992	15.4529262210123	16.5468106693797	17.189417461018	13.66293125861	14.6467084580883	14.4374808559002	14.901944524093	HMDB0001008	ko00860,ko01100
57	Biopterin	15.4087958327095	14.8441233938305	15.0412678998296	14.1309225968426	15.635565769635	15.6671819722605	14.3406552072046	14.3009242287162	14.9733907119421	14.2029151192679	HMDB0000468	ko00790,ko01100,ko01240
58	Biotin	14.3063460405513	13.8871290214325	14.8050039843318	14.7577237016578	14.8297316771464	14.6608847067062	15.1312549915864	15.0130670327633	14.9707590619973	15.3218755956817	HMDB0000030	ko00780,ko01100,ko01240,ko02010,ko04977
59	Caffeic Acid	12.545459985802	12.0741196381244	12.4695466918159	11.8486733090242	12.8016323701465	12.6660996385642	12.756310551778	12.7187340020872	8.3026322642769	12.7664685562305	HMDB0001964	-
60	Cholesterol	15.0644136773273	14.8313536205002	14.759850497993	14.8254249332909	14.7487042452191	14.8445727558022	14.7737673696814	14.7565609109853	14.7991956814877	14.6722035043499	HMDB0000067	ko00100,ko00120,ko00140,ko00981,ko01100,ko04913,ko04925,ko04927,ko04934,ko04975,ko04976,ko04977,ko04979,ko05200,ko05217,ko05417
61	Cis-Aconitic Acid	12.4255576694098	12.4196725733315	12.4114526100006	12.9792522724738	12.3853207168198	12.6941702532195	12.680590392704	12.7544847241403	13.1090366439347	13.4319631249494	HMDB0000072	ko00020,ko00630,ko00660,ko01100,ko01210
62	Cortexolone	6.63631716458161	8.17377403124981	12.1974318084876	11.7726326945783	12.0719626761882	11.8703600814274	12.4953830121574	12.48395299994	8.38640134054041	12.00152246278	HMDB0000015	ko00140,ko01100,ko04927,ko04934
63	Cytidine 5'-Diphosphocholine	6.79391122248147	12.6103265986048	8.65226665855486	11.7594588990145	11.9579326340789	12.7111312161591	11.6131128016585	11.7299197986179	12.2770798772434	12.2855205934198	HMDB0001413	ko00552,ko00564,ko01100,ko05231
64	D-Allose	14.8518203470141	14.793226175048	14.7166448238378	14.6085651894347	14.9002174312272	14.9075760242856	14.9468459881971	14.952413315405	15.0406839001781	14.7174335884825	-	-
